flipkart_order_id,customer_id,product_id,order_timestamp,qty,price_per_unit,discount_percent,delivery_charges,payment_type,order_status
FLK8429012071126423,CUST_09280,PROD_036,10/06/2026 08:44,4,222.66,10,40.0,COD,Delivered
FLK9351254071901562,CUST_03879,PROD_403,21/06/2025 03:33,1,68.33,20,50.0,COD,Delivered
FLK9363704591715200,CUST_07564,PROD_840,08/06/2026 04:49,3,89.16,0,50.0,COD,Delivered
FLK1728882988871630,CUST_04479,PROD_950,16/05/2025 19:36,1,115.42,15,40.0,COD,Delivered
FLK4914609481949268,CUST_09200,PROD_720,06/05/2025 21:15,3,94.86,20,0.0,Prepaid,Cancelled
FLK9108029745992590,CUST_03441,PROD_365,14/01/2026 21:10,3,109.21,15,50.0,COD,Cancelled
FLK2145145288248329,CUST_06617,PROD_485,10/09/2025 23:28,4,107.19,0,50.0,Prepaid,Delivered
FLK7739108767444705,CUST_04524,PROD_535,29/06/2025 11:31,3,167.45,20,50.0,COD,Returned
FLK6705483689608439,CUST_06272,PROD_282,26/12/2025 10:43,2,24.53,0,40.0,Prepaid,Delivered
FLK7593969839293517,CUST_06357,PROD_419,25/04/2026 07:25,1,28.95,0,50.0,Prepaid,Delivered
FLK9214838696191028,CUST_08318,PROD_230,23/09/2025 14:29,4,65.35,10,50.0,Prepaid,Delivered
FLK3504387454726253,CUST_08746,PROD_418,24/07/2025 05:40,1,278.94,10,0.0,COD,Delivered
FLK2963790916374623,CUST_04573,PROD_135,17/03/2025 21:07,3,232.32,5,40.0,Prepaid,Returned
FLK2165643265513153,CUST_02699,PROD_048,12/11/2025 19:14,2,100.72,0,40.0,COD,Returned
FLK3129412689824322,CUST_03223,PROD_860,12/04/2025 22:41,1,146.96,15,0.0,COD,Delivered
FLK3366267704873356,CUST_03618,PROD_001,14/12/2025 09:26,2,149.79,5,40.0,COD,Delivered
FLK5495483088038851,CUST_01103,PROD_960,24/07/2025 21:11,1,249.76,10,0.0,Prepaid,Delivered
FLK2730555989973171,CUST_00483,PROD_312,09/06/2025 22:03,2,18.86,15,0.0,Prepaid,Delivered
FLK3597037006450264,CUST_09307,PROD_161,24/07/2025 15:20,2,57.5,20,40.0,Prepaid,Delivered
FLK5542655127027649,CUST_01717,PROD_716,09/06/2025 04:28,2,132.87,10,0.0,Prepaid,Delivered
FLK4455007873786447,CUST_03233,PROD_894,13/06/2026 18:40,4,74.51,5,50.0,Prepaid,Delivered
FLK3683863057815821,CUST_01666,PROD_736,14/05/2025 04:44,4,61.92,20,40.0,COD,Returned
FLK5988522485547232,CUST_09889,PROD_167,22/05/2026 21:36,3,84.95,5,40.0,COD,Delivered
FLK1260380024974634,CUST_06580,PROD_090,03/06/2026 17:40,3,106.64,5,40.0,Prepaid,Returned
FLK1721379284665072,CUST_00888,PROD_046,04/06/2025 06:15,2,174.01,15,40.0,COD,Delivered
FLK2563325251994692,CUST_00916,PROD_124,26/07/2025 22:42,2,23.62,15,0.0,COD,Delivered
FLK4513812469274705,CUST_09887,PROD_412,28/09/2025 12:41,1,180.5,20,50.0,COD,Delivered
FLK3915983031691710,CUST_00719,PROD_639,10/04/2025 10:04,3,200.85,0,0.0,COD,Returned
FLK6471439145965310,CUST_02765,PROD_290,25/12/2025 06:46,1,282.02,20,50.0,COD,Cancelled
FLK6536194235868423,CUST_00471,PROD_777,26/04/2026 01:14,2,44.03,0,40.0,Prepaid,Delivered
FLK8648235929098264,CUST_08911,PROD_312,19/09/2025 00:37,4,18.86,0,40.0,Prepaid,Returned
FLK3590073325874540,CUST_05619,PROD_065,09/06/2026 14:40,3,35.84,0,50.0,Prepaid,Delivered
FLK6486375694133464,CUST_01776,PROD_598,31/12/2025 12:39,4,259.61,0,50.0,COD,Returned
FLK2403374829296136,CUST_02302,PROD_376,20/01/2026 00:32,3,76.19,5,50.0,COD,Delivered
FLK2262318722476229,CUST_03825,PROD_326,04/03/2025 22:40,2,248.75,15,50.0,Prepaid,Delivered
FLK7502662282524688,CUST_09331,PROD_731,29/10/2025 23:38,2,50.18,10,50.0,COD,Delivered
FLK2228122197745284,CUST_09749,PROD_815,04/03/2025 13:17,2,8.59,5,40.0,Prepaid,Returned
FLK7801404911511140,CUST_06604,PROD_439,28/02/2025 04:10,4,235.08,0,0.0,Prepaid,Returned
FLK1335792776986754,CUST_09209,PROD_888,30/03/2026 02:06,2,31.07,0,0.0,COD,Returned
FLK7238800186209320,CUST_09781,PROD_812,12/03/2025 19:32,2,96.21,15,50.0,Prepaid,Delivered
FLK4715260735819194,CUST_04608,PROD_733,01/02/2026 11:42,1,105.19,15,50.0,COD,Cancelled
FLK9367216670879299,CUST_08871,PROD_682,27/07/2025 02:40,2,195.36,0,0.0,COD,Delivered
FLK1250607494821387,CUST_09244,PROD_349,05/04/2026 21:50,3,192.49,10,50.0,COD,Delivered
FLK4077540001216696,CUST_04433,PROD_488,17/04/2026 03:33,2,189.76,5,40.0,COD,Returned
FLK6434642180185825,CUST_02620,PROD_385,06/01/2026 18:48,3,185.99,0,40.0,COD,Delivered
FLK5119637679071684,CUST_08706,PROD_580,11/02/2026 12:47,4,27.77,0,0.0,Prepaid,Delivered
FLK6688331333184101,CUST_01305,PROD_288,18/03/2025 13:59,1,199.93,15,40.0,COD,Delivered
FLK1377807849560956,CUST_01111,PROD_456,15/03/2026 21:19,1,123.57,15,0.0,COD,Returned
FLK4903185261857248,CUST_04001,PROD_971,31/03/2026 19:58,3,90.65,5,0.0,Prepaid,Delivered
FLK8556523734578342,CUST_09632,PROD_016,01/08/2025 00:06,4,63.64,0,0.0,COD,Delivered
FLK7399684012022350,CUST_09694,PROD_398,31/07/2025 16:35,2,179.52,10,40.0,COD,Delivered
FLK1847902442543231,CUST_00413,PROD_658,06/01/2026 04:13,3,253.45,5,40.0,Prepaid,Returned
FLK9577699175954817,CUST_00701,PROD_019,08/08/2025 18:01,1,91.46,0,50.0,COD,Delivered
FLK8747594353609823,CUST_06086,PROD_250,29/09/2025 15:47,1,49.27,10,0.0,COD,Delivered
FLK5096049740816238,CUST_00173,PROD_203,30/11/2025 01:43,4,20.64,0,40.0,Prepaid,Cancelled
FLK3846881576229281,CUST_02991,PROD_214,03/03/2025 05:24,4,102.03,5,40.0,COD,Delivered
FLK5056638641712975,CUST_08047,PROD_425,30/03/2025 11:24,3,152.39,0,50.0,COD,Delivered
FLK5689825971618185,CUST_06630,PROD_322,27/05/2026 03:54,3,287.24,10,40.0,COD,Delivered
FLK3443587841120874,CUST_01848,PROD_129,12/07/2025 15:40,1,9.51,0,40.0,COD,Returned
FLK1225401410856582,CUST_09928,PROD_664,04/08/2025 23:22,2,285.46,20,0.0,COD,Cancelled
FLK6056875926611604,CUST_01388,PROD_325,04/05/2026 11:15,4,25.4,15,40.0,COD,Delivered
FLK1345426584292042,CUST_04333,PROD_724,10/01/2026 19:52,4,111.96,10,40.0,COD,Delivered
FLK8416754685937583,CUST_02093,PROD_551,18/06/2025 16:00,3,58.8,0,0.0,COD,Returned
FLK8162387516694831,CUST_08576,PROD_162,20/04/2026 04:39,1,171.92,0,40.0,COD,Returned
FLK2107554804945180,CUST_06786,PROD_528,02/08/2025 02:01,4,191.96,20,0.0,Prepaid,Delivered
FLK6762166667627652,CUST_08799,PROD_684,16/12/2025 12:24,2,259.37,0,40.0,Prepaid,Cancelled
FLK9445318149248561,CUST_04117,PROD_606,24/05/2025 19:52,2,46.2,0,0.0,Prepaid,Cancelled
FLK7265186332189624,CUST_04430,PROD_974,06/05/2026 22:11,1,96.37,15,50.0,Prepaid,Cancelled
FLK9426081171851431,CUST_03246,PROD_689,22/11/2025 05:14,3,117.59,10,40.0,COD,Cancelled
FLK5459571014874461,CUST_00486,PROD_562,18/05/2025 10:58,1,185.65,0,40.0,COD,Delivered
FLK9481147920507340,CUST_03363,PROD_790,29/03/2025 07:47,1,73.86,5,0.0,COD,Delivered
FLK5867456428032116,CUST_07370,PROD_735,21/07/2025 18:37,4,272.4,5,0.0,Prepaid,Delivered
FLK6645754027237860,CUST_09828,PROD_306,13/05/2025 12:07,4,145.33,5,50.0,Prepaid,Delivered
FLK6912418925486217,CUST_00067,PROD_039,09/08/2025 14:23,1,15.15,0,40.0,COD,Returned
FLK8490824743958110,CUST_05049,PROD_031,28/02/2025 16:09,2,203.69,0,0.0,Prepaid,Delivered
FLK6352063236543955,CUST_02682,PROD_139,01/05/2026 08:23,3,119.04,5,0.0,COD,Delivered
FLK3239292563217560,CUST_01009,PROD_347,14/08/2025 00:08,1,179.18,0,40.0,Prepaid,Cancelled
FLK3061205863915417,CUST_07772,PROD_959,17/09/2025 17:35,4,178.26,5,40.0,Prepaid,Delivered
FLK9690709741874105,CUST_08989,PROD_624,04/07/2025 01:55,3,227.44,10,40.0,COD,Returned
FLK4821434638349998,CUST_06642,PROD_865,12/03/2025 16:04,2,187.66,0,0.0,COD,Returned
FLK9609317601684622,CUST_08645,PROD_667,27/02/2026 04:48,2,137.36,10,0.0,Prepaid,Delivered
FLK1175304717295877,CUST_05604,PROD_170,20/03/2026 10:04,4,177.48,20,50.0,COD,Delivered
FLK5907320734641136,CUST_06905,PROD_194,23/02/2025 23:32,1,116.43,10,0.0,Prepaid,Returned
FLK8379106885505033,CUST_07876,PROD_359,23/02/2026 10:41,3,299.3,15,50.0,Prepaid,Cancelled
FLK5000632620496010,CUST_06984,PROD_452,17/06/2025 12:01,3,16.47,5,40.0,COD,Delivered
FLK6307707029242238,CUST_03180,PROD_904,22/03/2026 05:14,4,75.07,5,50.0,COD,Delivered
FLK4722405966560337,CUST_00805,PROD_854,04/12/2025 00:57,2,199.42,15,0.0,COD,Delivered
FLK6109925931563953,CUST_07532,PROD_333,01/08/2025 10:30,4,206.74,20,40.0,Prepaid,Delivered
FLK6771198393901486,CUST_07517,PROD_673,08/01/2026 05:32,3,174.34,20,40.0,COD,Returned
FLK9110943217667822,CUST_08234,PROD_389,01/10/2025 20:13,4,190.04,10,50.0,COD,Delivered
FLK6584720691865914,CUST_08458,PROD_930,30/10/2025 08:42,1,63.66,20,50.0,COD,Returned
FLK6021021178578427,CUST_06513,PROD_841,30/05/2026 23:12,3,10.55,5,50.0,COD,Cancelled
FLK8586686581126850,CUST_05641,PROD_956,18/03/2026 09:47,1,105.02,10,40.0,COD,Cancelled
FLK7831900393124041,CUST_01666,PROD_068,23/03/2025 04:11,1,77.71,15,0.0,COD,Delivered
FLK7190649622643745,CUST_03197,PROD_139,12/08/2025 11:05,4,119.04,0,40.0,Prepaid,Delivered
FLK7123016880974554,CUST_03828,PROD_626,09/02/2025 16:48,2,84.85,20,40.0,COD,Delivered
FLK3829843563197778,CUST_07081,PROD_825,19/03/2025 12:37,1,106.27,20,50.0,COD,Cancelled
FLK3771017896234636,CUST_09292,PROD_030,04/06/2026 22:02,1,65.23,0,40.0,COD,Delivered
FLK1398218000946174,CUST_08357,PROD_487,06/03/2026 15:35,2,174.36,15,40.0,Prepaid,Cancelled
FLK7915634868810904,CUST_06355,PROD_158,27/08/2025 20:34,3,119.43,10,0.0,COD,Delivered
FLK5794311392349825,CUST_03211,PROD_826,06/08/2025 14:59,4,99.97,5,0.0,Prepaid,Returned
FLK6145762727785387,CUST_07374,PROD_821,07/09/2025 09:22,4,51.04,0,40.0,Prepaid,Cancelled
FLK7530937285394096,CUST_08017,PROD_215,14/05/2026 12:16,1,266.04,0,50.0,COD,Delivered
FLK1543458212182755,CUST_02222,PROD_232,08/12/2025 02:54,4,88.35,20,0.0,COD,Cancelled
FLK9472471846165553,CUST_05719,PROD_452,16/04/2026 15:26,4,16.47,5,50.0,COD,Delivered
FLK4212391542574018,CUST_04254,PROD_891,12/06/2025 12:15,2,220.1,0,0.0,Prepaid,Cancelled
FLK9440623212290381,CUST_05881,PROD_015,13/02/2025 14:52,2,117.65,20,0.0,COD,Delivered
FLK6186116385595935,CUST_09548,PROD_482,04/05/2025 22:16,4,181.18,15,40.0,COD,Delivered
FLK1748121145882488,CUST_06076,PROD_187,11/12/2025 22:28,1,171.29,5,50.0,Prepaid,Returned
FLK6203676102873127,CUST_02350,PROD_541,06/10/2025 17:13,2,123.66,0,50.0,Prepaid,Delivered
FLK6843706759812132,CUST_06396,PROD_299,20/01/2026 12:35,4,166.72,10,50.0,COD,Delivered
FLK7461385276741989,CUST_02243,PROD_994,13/07/2025 10:41,2,100.48,10,0.0,COD,Delivered
FLK2853450804160811,CUST_02483,PROD_187,11/09/2025 11:40,4,171.29,5,40.0,COD,Cancelled
FLK5230089051395058,CUST_02671,PROD_430,11/11/2025 23:16,4,64.94,0,40.0,Prepaid,Delivered
FLK9333960392444321,CUST_01320,PROD_025,03/10/2025 08:31,3,26.97,20,0.0,COD,Delivered
FLK6735532620692860,CUST_02044,PROD_483,24/06/2025 02:13,4,112.66,15,40.0,Prepaid,Delivered
FLK4568118541288161,CUST_08617,PROD_515,21/05/2026 21:45,1,288.34,5,50.0,COD,Returned
FLK1974980183410918,CUST_05812,PROD_169,19/01/2026 02:59,1,196.85,10,50.0,COD,Returned
FLK7229134602081738,CUST_05563,PROD_848,11/11/2025 06:44,2,127.6,10,40.0,COD,Cancelled
FLK8660328688812041,CUST_00086,PROD_929,03/02/2025 18:57,1,287.34,10,50.0,Prepaid,Cancelled
FLK1810389986174420,CUST_06293,PROD_222,15/10/2025 06:46,4,239.85,15,50.0,COD,Returned
FLK7549216302474360,CUST_01285,PROD_014,27/02/2026 16:51,4,162.93,0,50.0,COD,Delivered
FLK2044574923685518,CUST_02002,PROD_111,12/03/2026 08:40,1,70.85,10,0.0,Prepaid,Delivered
FLK2054245082744453,CUST_05947,PROD_947,23/01/2026 03:24,2,173.7,5,0.0,COD,Delivered
FLK7303805410603230,CUST_02029,PROD_851,06/05/2025 15:21,3,200.38,5,50.0,COD,Delivered
FLK5294760954055622,CUST_01935,PROD_194,26/04/2026 05:26,3,116.43,20,0.0,COD,Returned
FLK6991720878312699,CUST_02874,PROD_640,07/12/2025 00:33,4,173.6,20,0.0,COD,Delivered
FLK6927422719781671,CUST_01732,PROD_682,25/11/2025 04:27,4,195.36,5,40.0,Prepaid,Delivered
FLK7798678175189828,CUST_08088,PROD_863,18/02/2025 00:17,1,222.72,10,40.0,COD,Delivered
FLK3279830531198274,CUST_06716,PROD_126,23/03/2025 09:10,2,118.48,15,50.0,COD,Delivered
FLK6797030139919160,CUST_03933,PROD_918,06/04/2025 01:46,4,178.2,20,50.0,Prepaid,Delivered
FLK2860236159442402,CUST_02454,PROD_985,25/02/2025 01:32,1,197.6,10,0.0,Prepaid,Delivered
FLK7169807106390970,CUST_05557,PROD_847,12/06/2026 22:13,1,214.57,0,40.0,COD,Cancelled
FLK9474495649235565,CUST_05094,PROD_625,28/04/2025 01:20,2,177.56,5,0.0,Prepaid,Cancelled
FLK1900444465284795,CUST_03734,PROD_670,19/10/2025 09:44,4,197.09,20,50.0,Prepaid,Returned
FLK4982172982061434,CUST_03213,PROD_911,26/05/2025 00:59,1,16.12,20,40.0,COD,Delivered
FLK2281056555670415,CUST_04226,PROD_323,05/11/2025 18:09,4,229.56,0,0.0,COD,Returned
FLK3465924824383982,CUST_02533,PROD_235,26/05/2026 00:27,4,130.6,20,0.0,Prepaid,Delivered
FLK8991898853232137,CUST_03947,PROD_110,18/10/2025 15:09,2,164.91,20,50.0,Prepaid,Cancelled
FLK9477365566952275,CUST_08726,PROD_340,19/01/2026 04:04,2,303.66,15,0.0,COD,Returned
FLK3679994782369145,CUST_04514,PROD_151,27/01/2026 18:17,3,45.66,10,0.0,COD,Cancelled
FLK2453252505720482,CUST_04438,PROD_059,10/05/2026 05:46,1,66.28,5,40.0,COD,Cancelled
FLK6629176722944013,CUST_07612,PROD_344,15/05/2026 21:10,4,145.97,10,0.0,Prepaid,Cancelled
FLK2133582027145415,CUST_04333,PROD_064,26/03/2026 03:15,3,64.55,0,0.0,COD,Cancelled
FLK3250808651359428,CUST_00049,PROD_206,15/05/2025 21:18,2,72.45,5,50.0,Prepaid,Delivered
FLK5471029558782459,CUST_02109,PROD_515,19/05/2025 08:34,1,288.34,20,40.0,COD,Delivered
FLK8802396980475810,CUST_07647,PROD_504,27/02/2026 05:55,3,282.84,0,50.0,COD,Cancelled
FLK7808459296947258,CUST_08241,PROD_293,27/05/2025 15:18,2,132.53,10,0.0,COD,Returned
FLK9011866813160223,CUST_00351,PROD_854,03/05/2026 00:02,3,199.42,5,50.0,COD,Delivered
FLK9968323618293741,CUST_05630,PROD_324,23/12/2025 07:20,2,52.27,5,0.0,COD,Cancelled
FLK5120949360746653,CUST_01533,PROD_665,30/12/2025 02:39,3,285.3,0,0.0,COD,Delivered
FLK2411440767780597,CUST_06250,PROD_016,20/02/2026 03:00,1,63.64,20,0.0,Prepaid,Returned
FLK7248387724574110,CUST_03602,PROD_147,26/05/2026 01:32,4,176.47,5,40.0,COD,Delivered
FLK9688534286230479,CUST_05084,PROD_370,21/11/2025 17:06,3,180.7,0,50.0,Prepaid,Cancelled
FLK2186057101950443,CUST_07238,PROD_812,14/08/2025 22:46,2,96.21,0,0.0,COD,Delivered
FLK4346557942992404,CUST_02601,PROD_813,26/11/2025 01:26,2,135.83,20,50.0,COD,Delivered
FLK6368765219224198,CUST_07521,PROD_694,18/02/2026 17:14,1,56.45,10,40.0,Prepaid,Delivered
FLK9676293214860629,CUST_03204,PROD_896,16/03/2026 19:44,4,108.58,0,50.0,Prepaid,Cancelled
FLK6254274784428548,CUST_01595,PROD_971,08/07/2025 16:47,1,90.65,5,50.0,COD,Returned
FLK9153011430717478,CUST_09846,PROD_425,31/03/2025 21:33,3,152.39,20,0.0,COD,Delivered
FLK9097302238851949,CUST_09859,PROD_282,28/10/2025 05:40,1,24.53,0,40.0,COD,Delivered
FLK1682207040737499,CUST_03057,PROD_510,03/04/2026 07:12,1,65.47,5,0.0,COD,Delivered
FLK5312563246077621,CUST_06223,PROD_908,27/04/2026 00:59,2,105.72,20,50.0,Prepaid,Delivered
FLK2215845364586780,CUST_04281,PROD_147,02/06/2025 03:14,1,176.47,0,40.0,COD,Returned
FLK8927773159383081,CUST_07546,PROD_332,17/05/2025 20:54,1,228.02,20,50.0,COD,Delivered
FLK6619578650275663,CUST_05412,PROD_207,18/04/2025 03:52,4,86.74,10,0.0,Prepaid,Returned
FLK8017239290213514,CUST_09930,PROD_312,13/08/2025 10:04,4,18.86,10,50.0,COD,Returned
FLK2863400448723467,CUST_02001,PROD_702,03/02/2025 01:28,2,234.07,10,0.0,COD,Returned
FLK7045258218479727,CUST_07565,PROD_439,06/12/2025 22:15,3,235.08,20,50.0,Prepaid,Returned
FLK2459922828019922,CUST_02538,PROD_455,13/03/2025 01:03,4,79.36,20,50.0,COD,Delivered
FLK5844696958511427,CUST_03443,PROD_974,27/03/2025 20:49,3,96.37,10,40.0,COD,Cancelled
FLK3429382471525194,CUST_06077,PROD_250,22/03/2026 20:20,1,49.27,15,0.0,COD,Cancelled
FLK8100600607537135,CUST_02411,PROD_615,13/03/2026 21:38,4,215.75,20,0.0,Prepaid,Delivered
FLK9998355207917366,CUST_00055,PROD_882,01/08/2025 13:46,3,26.38,20,40.0,COD,Delivered
FLK9958358261148805,CUST_09580,PROD_588,24/02/2025 18:31,4,215.81,5,40.0,Prepaid,Delivered
FLK3053838923623424,CUST_07497,PROD_094,24/05/2025 23:54,1,82.12,5,50.0,Prepaid,Delivered
FLK3823892364904423,CUST_01110,PROD_466,03/06/2025 01:30,3,92.68,20,40.0,Prepaid,Delivered
FLK4407018193930386,CUST_02048,PROD_671,23/07/2025 23:02,3,85.63,20,0.0,COD,Cancelled
FLK4670176185759786,CUST_01100,PROD_084,14/03/2026 20:07,1,162.62,0,0.0,Prepaid,Delivered
FLK1818859508308188,CUST_03696,PROD_911,18/05/2026 18:53,4,16.12,20,0.0,Prepaid,Returned
FLK4506446203307962,CUST_02921,PROD_653,03/07/2025 19:14,4,167.45,0,40.0,Prepaid,Delivered
FLK5433894239756436,CUST_02590,PROD_967,11/11/2025 15:36,2,169.55,10,0.0,Prepaid,Delivered
FLK6263664492127643,CUST_09536,PROD_258,26/07/2025 00:24,3,256.91,10,0.0,Prepaid,Delivered
FLK2061286063250343,CUST_07324,PROD_550,11/02/2025 05:24,3,76.7,15,50.0,COD,Returned
FLK4179432221993510,CUST_01546,PROD_332,21/10/2025 08:35,2,228.02,15,40.0,COD,Delivered
FLK3591277478949090,CUST_07511,PROD_378,18/06/2025 15:17,3,42.34,0,50.0,Prepaid,Delivered
FLK3101082551804369,CUST_09812,PROD_792,29/03/2026 16:11,2,59.18,20,0.0,Prepaid,Returned
FLK6708007896543381,CUST_08748,PROD_869,18/03/2026 19:28,3,31.98,0,40.0,COD,Returned
FLK5777371517184006,CUST_01983,PROD_883,27/12/2025 13:32,3,61.03,10,50.0,Prepaid,Delivered
FLK1736169604897595,CUST_04741,PROD_453,13/03/2025 17:13,1,197.7,5,50.0,COD,Returned
FLK6695410642515301,CUST_03469,PROD_136,18/03/2025 04:38,2,51.5,0,50.0,Prepaid,Returned
FLK5253904895901892,CUST_03839,PROD_272,19/05/2026 22:56,2,152.96,0,40.0,COD,Delivered
FLK1802625873926602,CUST_08759,PROD_762,21/01/2026 21:35,2,76.8,0,0.0,Prepaid,Delivered
FLK9683649940193964,CUST_02307,PROD_427,28/08/2025 23:18,4,207.12,5,0.0,Prepaid,Delivered
FLK3094955342171251,CUST_03493,PROD_185,30/06/2025 03:52,3,77.25,0,40.0,COD,Cancelled
FLK2255368569403312,CUST_00063,PROD_938,07/03/2026 10:41,1,86.02,20,40.0,COD,Cancelled
FLK2877069690690469,CUST_02399,PROD_567,05/07/2025 19:31,2,272.73,10,40.0,Prepaid,Delivered
FLK1545022239338159,CUST_02074,PROD_319,07/02/2025 05:31,4,220.64,10,40.0,COD,Delivered
FLK8360140960756729,CUST_03023,PROD_555,18/08/2025 12:37,2,199.03,0,0.0,Prepaid,Cancelled
FLK1923667731602779,CUST_06972,PROD_254,17/12/2025 02:16,2,158.9,5,40.0,Prepaid,Cancelled
FLK3954184338909384,CUST_07286,PROD_404,26/02/2025 16:25,1,130.02,10,40.0,COD,Returned
FLK5749174044713863,CUST_00651,PROD_410,08/11/2025 12:29,2,68.16,5,0.0,COD,Cancelled
FLK2295706252568852,CUST_04444,PROD_571,05/09/2025 01:57,4,209.5,0,50.0,COD,Delivered
FLK4174571442329670,CUST_03902,PROD_704,01/04/2025 15:00,3,176.51,10,40.0,COD,Delivered
FLK1652502241782303,CUST_03689,PROD_649,09/06/2025 12:50,2,117.37,15,50.0,Prepaid,Cancelled
FLK3846804204423100,CUST_04950,PROD_780,14/01/2026 16:29,1,14.49,15,0.0,Prepaid,Cancelled
FLK7163602574667205,CUST_05310,PROD_057,09/12/2025 16:00,1,210.95,20,40.0,Prepaid,Cancelled
FLK5148940032710762,CUST_01938,PROD_715,03/11/2025 03:01,3,54.0,15,0.0,Prepaid,Returned
FLK5063819825098864,CUST_00070,PROD_369,28/07/2025 22:32,1,9.86,5,40.0,Prepaid,Delivered
FLK9927250492389510,CUST_08908,PROD_183,08/02/2025 09:38,1,241.33,10,50.0,COD,Returned
FLK9581294113530870,CUST_05017,PROD_671,15/04/2026 00:07,4,85.63,10,0.0,COD,Delivered
FLK4889721907796875,CUST_02112,PROD_366,08/03/2025 09:30,1,203.5,20,50.0,Prepaid,Delivered
FLK6778662831495743,CUST_07331,PROD_1000,02/04/2025 04:11,2,150.42,10,50.0,COD,Returned
FLK4981667036749074,CUST_03038,PROD_757,20/08/2025 06:32,2,231.45,20,50.0,COD,Delivered
FLK2010759704173256,CUST_08216,PROD_285,13/07/2025 18:13,2,190.84,20,50.0,Prepaid,Delivered
FLK6044214172788725,CUST_05440,PROD_136,01/06/2025 21:52,3,51.5,20,50.0,Prepaid,Delivered
FLK9502012332722379,CUST_04156,PROD_220,02/06/2025 01:55,3,298.5,15,0.0,COD,Delivered
FLK5184825508896028,CUST_03235,PROD_933,19/09/2025 07:56,4,137.91,20,50.0,Prepaid,Returned
FLK1858200636565975,CUST_08739,PROD_615,08/06/2026 01:42,1,215.75,15,0.0,COD,Delivered
FLK2846713948793040,CUST_09575,PROD_686,16/05/2025 19:44,3,97.98,5,40.0,COD,Delivered
FLK9938994543445133,CUST_07783,PROD_499,06/09/2025 23:55,3,61.26,10,50.0,COD,Delivered
FLK8039507525633694,CUST_05204,PROD_514,08/10/2025 14:25,1,78.64,20,40.0,COD,Returned
FLK4811934316218506,CUST_03925,PROD_313,26/03/2026 09:40,3,140.85,15,40.0,Prepaid,Delivered
FLK6309893569840990,CUST_06069,PROD_514,05/04/2026 23:16,3,78.64,0,40.0,Prepaid,Cancelled
FLK5364336346002380,CUST_08234,PROD_282,08/03/2025 00:59,2,24.53,20,50.0,COD,Delivered
FLK4253538177775989,CUST_03764,PROD_195,24/01/2026 16:21,1,77.17,10,50.0,Prepaid,Delivered
FLK7688215898692999,CUST_05644,PROD_439,03/05/2025 14:04,2,235.08,20,40.0,Prepaid,Delivered
FLK2840687126584796,CUST_01266,PROD_907,25/02/2025 17:38,1,113.75,20,40.0,Prepaid,Delivered
FLK7900567339189846,CUST_00753,PROD_570,04/04/2025 10:17,2,113.13,10,50.0,Prepaid,Returned
