product_id,stock_on_hand,reserved_stock,warehouse_location,restock_threshold,last_updated
PROD_051,203,42,WH-Delhi,44,2026-07-09 16:00:16
PROD_052,484,39,WH-Delhi,22,2026-07-09 11:00:16
PROD_053,48,14,WH-Bangalore,39,2026-07-08 14:00:16
PROD_054,321,12,WH-Bangalore,27,2026-07-09 07:00:16
PROD_055,375,7,WH-Mumbai,17,2026-07-08 06:00:16
PROD_056,62,12,WH-Bangalore,41,2026-07-08 09:00:16
PROD_057,19,7,WH-Bangalore,27,2026-07-08 06:00:16
PROD_058,310,1,WH-Bangalore,32,2026-07-08 16:00:16
PROD_059,397,48,WH-London,42,2026-07-08 21:00:16
PROD_060,393,22,WH-Mumbai,18,2026-07-09 21:00:16
PROD_061,101,16,WH-Mumbai,60,2026-07-10 00:00:16
PROD_062,480,43,WH-Bangalore,57,2026-07-09 08:00:16
PROD_063,185,16,WH-London,52,2026-07-09 08:00:16
PROD_064,430,46,WH-Bangalore,45,2026-07-09 10:00:16
PROD_065,143,36,WH-London,36,2026-07-08 08:00:16
PROD_066,315,8,WH-London,38,2026-07-08 15:00:16
PROD_067,155,30,WH-Mumbai,15,2026-07-10 00:00:16
PROD_068,212,10,WH-London,36,2026-07-08 06:00:16
PROD_069,93,16,WH-Texas,52,2026-07-10 03:00:16
PROD_070,378,11,WH-London,34,2026-07-10 03:00:16
PROD_071,429,1,WH-Mumbai,37,2026-07-09 03:00:16
PROD_072,125,42,WH-Texas,15,2026-07-08 21:00:16
PROD_073,222,2,WH-Delhi,39,2026-07-09 19:00:16
PROD_074,107,33,WH-Bangalore,51,2026-07-09 12:00:16
PROD_075,210,42,WH-Mumbai,23,2026-07-09 01:00:16
PROD_076,489,8,WH-London,22,2026-07-09 06:00:16
PROD_077,307,4,WH-Bangalore,30,2026-07-09 06:00:16
PROD_078,22,11,WH-Mumbai,37,2026-07-08 13:00:16
PROD_079,223,21,WH-Bangalore,22,2026-07-08 22:00:16
PROD_080,381,20,WH-London,53,2026-07-08 13:00:16
PROD_081,266,35,WH-Mumbai,21,2026-07-08 09:00:16
PROD_082,490,50,WH-Mumbai,51,2026-07-09 05:00:16
PROD_083,191,27,WH-Bangalore,25,2026-07-10 01:00:16
PROD_084,337,17,WH-London,57,2026-07-09 08:00:16
PROD_085,333,7,WH-Mumbai,19,2026-07-08 07:00:16
PROD_086,417,32,WH-Mumbai,37,2026-07-09 01:00:16
PROD_087,166,21,WH-Texas,57,2026-07-09 04:00:16
PROD_088,482,11,WH-Delhi,28,2026-07-09 21:00:16
PROD_089,336,27,WH-Delhi,53,2026-07-10 03:00:16
PROD_090,353,41,WH-Bangalore,51,2026-07-09 01:00:16
PROD_091,112,11,WH-Bangalore,52,2026-07-09 01:00:16
PROD_092,133,6,WH-Texas,57,2026-07-09 20:00:16
PROD_093,36,19,WH-Delhi,16,2026-07-10 01:00:16
PROD_094,465,10,WH-Mumbai,59,2026-07-09 09:00:16
PROD_095,352,37,WH-Mumbai,47,2026-07-09 18:00:16
PROD_096,28,1,WH-Texas,49,2026-07-09 16:00:16
PROD_097,497,19,WH-Texas,41,2026-07-08 12:00:16
PROD_098,160,6,WH-London,15,2026-07-08 10:00:16
PROD_099,277,39,WH-London,30,2026-07-09 16:00:16
PROD_100,110,35,WH-Texas,34,2026-07-09 07:00:16
PROD_101,447,20,WH-Texas,41,2026-07-10 02:00:16
PROD_102,62,9,WH-Delhi,50,2026-07-08 08:00:16
PROD_103,50,27,WH-Bangalore,60,2026-07-09 05:00:16
PROD_104,202,1,WH-Mumbai,16,2026-07-09 07:00:16
PROD_105,242,39,WH-London,25,2026-07-09 06:00:16
PROD_106,271,38,WH-Delhi,58,2026-07-09 22:00:16
PROD_107,165,20,WH-Delhi,53,2026-07-09 07:00:16
PROD_108,393,34,WH-Delhi,24,2026-07-09 08:00:16
PROD_109,387,12,WH-Bangalore,15,2026-07-09 08:00:16
PROD_110,209,10,WH-Delhi,31,2026-07-08 16:00:16
PROD_111,79,24,WH-Bangalore,53,2026-07-08 12:00:16
PROD_112,443,37,WH-Delhi,24,2026-07-08 11:00:16
PROD_113,459,46,WH-Mumbai,48,2026-07-09 07:00:16
PROD_114,496,24,WH-Delhi,23,2026-07-08 21:00:16
PROD_115,100,19,WH-London,41,2026-07-08 09:00:16
PROD_116,486,47,WH-Texas,25,2026-07-09 12:00:16
PROD_117,344,10,WH-Delhi,60,2026-07-08 06:00:16
PROD_118,403,27,WH-Bangalore,56,2026-07-08 17:00:16
PROD_119,329,21,WH-Bangalore,28,2026-07-09 18:00:16
PROD_120,370,25,WH-Mumbai,38,2026-07-08 22:00:16
PROD_121,96,2,WH-Texas,34,2026-07-09 14:00:16
PROD_122,225,5,WH-Texas,58,2026-07-09 20:00:16
PROD_123,381,19,WH-London,38,2026-07-09 14:00:16
PROD_124,115,6,WH-Texas,49,2026-07-10 03:00:16
PROD_125,427,33,WH-Mumbai,21,2026-07-09 08:00:16
PROD_126,141,23,WH-Delhi,42,2026-07-08 18:00:16
PROD_127,244,30,WH-Mumbai,39,2026-07-09 13:00:16
PROD_128,104,38,WH-Texas,45,2026-07-08 16:00:16
PROD_129,335,21,WH-Mumbai,48,2026-07-08 15:00:16
PROD_130,414,35,WH-London,53,2026-07-09 05:00:16
PROD_131,137,16,WH-London,28,2026-07-09 06:00:16
PROD_132,190,10,WH-Delhi,48,2026-07-08 12:00:16
PROD_133,284,16,WH-Delhi,20,2026-07-09 05:00:16
PROD_134,483,9,WH-Texas,44,2026-07-09 01:00:16
PROD_135,204,32,WH-Texas,33,2026-07-09 00:00:16
PROD_136,221,5,WH-Texas,40,2026-07-08 21:00:16
PROD_137,331,34,WH-Delhi,50,2026-07-08 15:00:16
PROD_138,354,50,WH-Delhi,45,2026-07-08 14:00:16
PROD_139,133,38,WH-London,58,2026-07-08 09:00:16
PROD_140,469,5,WH-London,55,2026-07-09 16:00:16
PROD_141,372,2,WH-Bangalore,31,2026-07-08 15:00:16
PROD_142,147,45,WH-Texas,30,2026-07-08 19:00:16
PROD_143,337,46,WH-Delhi,26,2026-07-09 22:00:16
PROD_144,243,25,WH-Delhi,45,2026-07-09 14:00:16
PROD_145,420,48,WH-Delhi,18,2026-07-08 15:00:16
PROD_146,449,35,WH-London,29,2026-07-09 11:00:16
PROD_147,134,25,WH-Bangalore,44,2026-07-09 00:00:16
PROD_148,480,27,WH-Mumbai,52,2026-07-09 13:00:16
PROD_149,425,8,WH-Bangalore,15,2026-07-09 16:00:16
PROD_150,350,18,WH-London,36,2026-07-09 05:00:16
PROD_151,217,12,WH-London,56,2026-07-09 00:00:16
PROD_152,61,4,WH-London,49,2026-07-10 01:00:16
PROD_153,57,10,WH-Delhi,40,2026-07-09 04:00:16
PROD_154,436,46,WH-Delhi,27,2026-07-08 16:00:16
PROD_155,418,33,WH-Texas,46,2026-07-09 19:00:16
PROD_156,23,1,WH-Mumbai,42,2026-07-09 02:00:16
PROD_157,498,10,WH-Bangalore,30,2026-07-08 09:00:16
PROD_158,101,50,WH-London,39,2026-07-08 14:00:16
PROD_159,110,44,WH-Delhi,29,2026-07-09 20:00:16
PROD_160,203,5,WH-London,44,2026-07-10 04:00:16
PROD_161,343,15,WH-Mumbai,42,2026-07-09 17:00:16
PROD_162,216,32,WH-Bangalore,42,2026-07-09 10:00:16
PROD_163,346,32,WH-Delhi,41,2026-07-09 04:00:16
PROD_164,95,5,WH-Texas,44,2026-07-08 14:00:16
PROD_165,437,49,WH-Texas,31,2026-07-10 01:00:16
PROD_166,45,32,WH-London,55,2026-07-08 19:00:16
PROD_167,301,0,WH-Delhi,38,2026-07-08 16:00:16
PROD_168,28,7,WH-Mumbai,25,2026-07-08 09:00:16
PROD_169,214,31,WH-Bangalore,23,2026-07-08 17:00:16
PROD_170,142,30,WH-Delhi,51,2026-07-09 10:00:16
PROD_171,350,48,WH-London,60,2026-07-09 21:00:16
PROD_172,438,25,WH-Mumbai,58,2026-07-08 09:00:16
PROD_173,326,27,WH-Bangalore,42,2026-07-08 11:00:16
PROD_174,190,32,WH-London,53,2026-07-09 16:00:16
PROD_175,10,9,WH-Delhi,29,2026-07-09 17:00:16
PROD_176,265,18,WH-Mumbai,48,2026-07-09 20:00:16
PROD_177,237,1,WH-Bangalore,45,2026-07-08 22:00:16
PROD_178,32,31,WH-Bangalore,26,2026-07-09 11:00:16
PROD_179,363,32,WH-Mumbai,21,2026-07-08 06:00:16
PROD_180,197,33,WH-Texas,50,2026-07-09 23:00:16
PROD_181,149,39,WH-Bangalore,27,2026-07-10 03:00:16
PROD_182,461,50,WH-London,44,2026-07-09 15:00:16
PROD_183,281,50,WH-Bangalore,48,2026-07-09 19:00:16
PROD_184,388,37,WH-Delhi,48,2026-07-09 17:00:16
PROD_185,39,19,WH-Mumbai,25,2026-07-08 17:00:16
PROD_186,302,23,WH-Bangalore,24,2026-07-08 17:00:16
PROD_187,90,26,WH-Texas,18,2026-07-08 06:00:16
PROD_188,47,10,WH-Bangalore,45,2026-07-08 07:00:16
PROD_189,480,47,WH-London,18,2026-07-09 11:00:16
PROD_190,54,12,WH-London,42,2026-07-08 06:00:16
PROD_191,213,21,WH-Texas,40,2026-07-10 02:00:16
PROD_192,420,29,WH-London,57,2026-07-09 18:00:16
PROD_193,208,5,WH-Bangalore,20,2026-07-08 08:00:16
PROD_194,104,10,WH-Texas,34,2026-07-09 01:00:16
PROD_195,203,32,WH-Mumbai,47,2026-07-08 22:00:16
PROD_196,242,29,WH-London,43,2026-07-09 16:00:16
PROD_197,99,26,WH-Delhi,28,2026-07-09 07:00:16
PROD_198,250,25,WH-Delhi,37,2026-07-08 21:00:16
PROD_199,380,20,WH-Mumbai,35,2026-07-10 01:00:16
PROD_200,409,20,WH-Mumbai,18,2026-07-09 07:00:16
PROD_201,187,28,WH-Mumbai,45,2026-07-09 03:00:16
PROD_202,431,13,WH-London,40,2026-07-09 11:00:16
PROD_203,327,50,WH-London,40,2026-07-08 16:00:16
PROD_204,40,9,WH-Delhi,24,2026-07-08 18:00:16
PROD_205,424,8,WH-Texas,38,2026-07-09 18:00:16
PROD_206,400,43,WH-London,47,2026-07-09 22:00:16
PROD_207,23,7,WH-Texas,22,2026-07-09 15:00:16
PROD_208,424,20,WH-Delhi,27,2026-07-09 01:00:16
PROD_209,463,11,WH-London,24,2026-07-09 11:00:16
PROD_210,316,18,WH-Texas,40,2026-07-10 02:00:16
PROD_211,59,30,WH-Mumbai,43,2026-07-08 21:00:16
PROD_212,99,5,WH-Mumbai,33,2026-07-08 16:00:16
PROD_213,438,21,WH-Delhi,40,2026-07-09 12:00:16
PROD_214,494,46,WH-Texas,35,2026-07-09 11:00:16
PROD_215,108,2,WH-Texas,28,2026-07-09 22:00:16
PROD_216,298,30,WH-Mumbai,19,2026-07-09 18:00:16
PROD_217,304,45,WH-Delhi,27,2026-07-08 17:00:16
PROD_218,494,43,WH-Texas,23,2026-07-08 08:00:16
PROD_219,119,31,WH-Texas,44,2026-07-08 17:00:16
PROD_220,152,3,WH-Mumbai,47,2026-07-08 15:00:16
PROD_221,278,29,WH-Mumbai,26,2026-07-08 17:00:16
PROD_222,44,41,WH-London,26,2026-07-09 10:00:16
PROD_223,149,15,WH-London,25,2026-07-09 10:00:16
PROD_224,305,28,WH-Mumbai,30,2026-07-09 13:00:16
PROD_225,490,47,WH-Bangalore,48,2026-07-08 21:00:16
PROD_226,82,13,WH-Mumbai,18,2026-07-08 19:00:16
PROD_227,222,37,WH-London,16,2026-07-09 18:00:16
PROD_228,268,11,WH-Delhi,33,2026-07-09 08:00:16
PROD_229,21,11,WH-Bangalore,20,2026-07-08 23:00:16
PROD_230,439,35,WH-Mumbai,25,2026-07-09 14:00:16
PROD_231,307,22,WH-Delhi,54,2026-07-09 09:00:16
PROD_232,489,1,WH-Mumbai,27,2026-07-08 22:00:16
PROD_233,170,8,WH-Bangalore,43,2026-07-09 05:00:16
PROD_234,219,29,WH-Texas,41,2026-07-09 16:00:16
PROD_235,41,2,WH-Mumbai,48,2026-07-08 21:00:16
PROD_236,459,31,WH-Bangalore,31,2026-07-09 14:00:16
PROD_237,429,12,WH-Mumbai,40,2026-07-08 13:00:16
PROD_238,307,23,WH-Delhi,30,2026-07-09 05:00:16
PROD_239,258,44,WH-Bangalore,49,2026-07-08 22:00:16
PROD_240,28,7,WH-Texas,41,2026-07-08 07:00:16
PROD_241,215,22,WH-Texas,58,2026-07-09 11:00:16
PROD_242,473,20,WH-Mumbai,26,2026-07-09 23:00:16
PROD_243,416,23,WH-London,24,2026-07-09 18:00:16
PROD_244,386,26,WH-Delhi,16,2026-07-09 06:00:16
PROD_245,185,1,WH-Texas,16,2026-07-09 23:00:16
PROD_246,35,14,WH-London,23,2026-07-09 15:00:16
PROD_247,157,49,WH-Delhi,27,2026-07-08 12:00:16
PROD_248,316,34,WH-Delhi,58,2026-07-09 06:00:16
PROD_249,355,31,WH-Mumbai,55,2026-07-09 05:00:16
PROD_250,250,23,WH-London,50,2026-07-10 02:00:16
PROD_251,305,13,WH-London,47,2026-07-09 02:00:16
PROD_252,483,17,WH-Delhi,52,2026-07-09 19:00:16
PROD_253,270,28,WH-Bangalore,16,2026-07-09 16:00:16
PROD_254,445,41,WH-Texas,15,2026-07-08 18:00:16
PROD_255,321,36,WH-Texas,16,2026-07-09 11:00:16
PROD_256,279,25,WH-Bangalore,60,2026-07-09 04:00:16
PROD_257,86,17,WH-Mumbai,52,2026-07-09 23:00:16
PROD_258,463,29,WH-Texas,42,2026-07-09 04:00:16
PROD_259,466,4,WH-London,29,2026-07-09 11:00:16
PROD_260,364,16,WH-Bangalore,25,2026-07-08 12:00:16
PROD_261,397,21,WH-London,52,2026-07-09 03:00:16
PROD_262,293,11,WH-Texas,16,2026-07-08 15:00:16
PROD_263,185,17,WH-Mumbai,23,2026-07-09 14:00:16
PROD_264,164,30,WH-London,17,2026-07-08 15:00:16
PROD_265,348,47,WH-Mumbai,25,2026-07-08 16:00:16
PROD_266,128,39,WH-Mumbai,20,2026-07-09 09:00:16
PROD_267,12,12,WH-Bangalore,28,2026-07-09 10:00:16
PROD_268,458,7,WH-Mumbai,26,2026-07-09 05:00:16
PROD_269,30,0,WH-London,40,2026-07-08 19:00:16
PROD_270,358,44,WH-Delhi,53,2026-07-09 05:00:16
PROD_271,188,12,WH-Mumbai,18,2026-07-08 11:00:16
PROD_272,373,32,WH-Mumbai,30,2026-07-09 03:00:16
PROD_273,475,25,WH-Bangalore,55,2026-07-08 18:00:16
PROD_274,136,1,WH-Bangalore,16,2026-07-09 07:00:16
PROD_275,104,36,WH-Bangalore,50,2026-07-09 06:00:16
PROD_276,84,5,WH-Delhi,20,2026-07-09 22:00:16
PROD_277,388,22,WH-Texas,17,2026-07-08 18:00:16
PROD_278,135,32,WH-Mumbai,24,2026-07-09 17:00:16
PROD_279,204,46,WH-London,38,2026-07-09 19:00:16
PROD_280,53,39,WH-Bangalore,37,2026-07-09 21:00:16
PROD_281,387,16,WH-London,56,2026-07-08 08:00:16
PROD_282,430,30,WH-Texas,28,2026-07-08 22:00:16
PROD_283,394,47,WH-Delhi,60,2026-07-08 13:00:16
PROD_284,421,39,WH-Mumbai,24,2026-07-08 16:00:16
PROD_285,158,7,WH-Mumbai,40,2026-07-09 21:00:16
PROD_286,160,27,WH-Texas,42,2026-07-09 06:00:16
PROD_287,34,1,WH-London,48,2026-07-08 20:00:16
PROD_288,339,24,WH-Texas,55,2026-07-10 03:00:16
PROD_289,308,14,WH-Mumbai,36,2026-07-08 18:00:16
PROD_290,143,10,WH-Delhi,58,2026-07-08 11:00:16
PROD_291,135,38,WH-Bangalore,23,2026-07-10 00:00:16
PROD_292,315,13,WH-Delhi,34,2026-07-09 23:00:16
PROD_293,182,46,WH-Delhi,23,2026-07-08 19:00:16
PROD_294,18,18,WH-Texas,36,2026-07-09 09:00:16
PROD_295,97,32,WH-London,53,2026-07-09 09:00:16
PROD_296,266,10,WH-London,42,2026-07-08 11:00:16
PROD_297,291,38,WH-Mumbai,43,2026-07-08 11:00:16
PROD_298,470,9,WH-Texas,16,2026-07-08 07:00:16
PROD_299,268,26,WH-Bangalore,47,2026-07-09 05:00:16
PROD_300,232,38,WH-Mumbai,39,2026-07-10 02:00:16
PROD_301,13,4,WH-London,41,2026-07-08 13:00:16
PROD_302,254,23,WH-London,38,2026-07-08 14:00:16
PROD_303,396,10,WH-Delhi,19,2026-07-08 22:00:16
PROD_304,125,11,WH-Bangalore,18,2026-07-09 03:00:16
PROD_305,356,45,WH-Bangalore,21,2026-07-09 18:00:16
PROD_306,364,50,WH-London,22,2026-07-09 18:00:16
PROD_307,444,20,WH-Mumbai,55,2026-07-08 15:00:16
PROD_308,38,25,WH-Mumbai,38,2026-07-09 09:00:16
PROD_309,171,26,WH-Bangalore,54,2026-07-09 05:00:16
PROD_310,252,50,WH-London,28,2026-07-08 10:00:16
PROD_311,107,48,WH-London,19,2026-07-10 00:00:16
PROD_312,94,4,WH-London,22,2026-07-09 13:00:16
PROD_313,23,21,WH-Delhi,39,2026-07-09 09:00:16
PROD_314,32,26,WH-London,48,2026-07-09 02:00:16
PROD_315,185,39,WH-London,19,2026-07-08 18:00:16
PROD_316,336,23,WH-Bangalore,20,2026-07-10 03:00:16
PROD_317,432,36,WH-Texas,28,2026-07-08 11:00:16
PROD_318,111,4,WH-London,38,2026-07-08 12:00:16
PROD_319,451,44,WH-Bangalore,43,2026-07-09 00:00:16
PROD_320,157,21,WH-London,25,2026-07-08 08:00:16
PROD_321,173,47,WH-Delhi,48,2026-07-09 10:00:16
PROD_322,399,50,WH-London,50,2026-07-08 23:00:16
PROD_323,87,43,WH-Mumbai,41,2026-07-09 20:00:16
PROD_324,343,36,WH-Delhi,56,2026-07-08 08:00:16
PROD_325,235,16,WH-London,30,2026-07-10 03:00:16
PROD_326,379,35,WH-London,36,2026-07-10 02:00:16
PROD_327,92,17,WH-Mumbai,25,2026-07-09 15:00:16
PROD_328,432,29,WH-Texas,15,2026-07-09 23:00:16
PROD_329,215,22,WH-Texas,39,2026-07-08 20:00:16
PROD_330,435,42,WH-Mumbai,23,2026-07-08 10:00:16
PROD_331,179,19,WH-Delhi,45,2026-07-08 19:00:16
PROD_332,272,31,WH-London,39,2026-07-08 17:00:16
PROD_333,248,6,WH-Bangalore,17,2026-07-08 11:00:16
PROD_334,208,3,WH-London,52,2026-07-08 15:00:16
PROD_335,378,26,WH-Bangalore,57,2026-07-08 07:00:16
PROD_336,304,40,WH-Texas,51,2026-07-08 08:00:16
PROD_337,120,37,WH-Delhi,30,2026-07-09 15:00:16
PROD_338,368,18,WH-Delhi,46,2026-07-09 20:00:16
PROD_339,485,4,WH-Texas,60,2026-07-10 01:00:16
PROD_340,222,14,WH-Delhi,23,2026-07-08 14:00:16
PROD_341,237,7,WH-Bangalore,38,2026-07-08 11:00:16
PROD_342,333,40,WH-Bangalore,46,2026-07-08 12:00:16
PROD_343,286,16,WH-London,35,2026-07-08 16:00:16
PROD_344,347,34,WH-Mumbai,36,2026-07-08 12:00:16
PROD_345,334,26,WH-Mumbai,47,2026-07-08 17:00:16
PROD_346,176,5,WH-Texas,25,2026-07-08 06:00:16
PROD_347,280,2,WH-Texas,53,2026-07-08 22:00:16
PROD_348,276,42,WH-Texas,41,2026-07-09 08:00:16
PROD_349,394,16,WH-Texas,23,2026-07-08 14:00:16
PROD_350,409,26,WH-Bangalore,26,2026-07-08 17:00:16
PROD_351,273,40,WH-Delhi,20,2026-07-09 17:00:16
PROD_352,422,1,WH-London,30,2026-07-10 01:00:16
PROD_353,469,49,WH-Mumbai,60,2026-07-09 22:00:16
PROD_354,329,36,WH-Delhi,23,2026-07-09 23:00:16
PROD_355,305,35,WH-Bangalore,51,2026-07-09 20:00:16
PROD_356,12,7,WH-Bangalore,20,2026-07-09 03:00:16
PROD_357,149,5,WH-Mumbai,50,2026-07-10 04:00:16
PROD_358,434,43,WH-Bangalore,50,2026-07-09 11:00:16
PROD_359,233,7,WH-Bangalore,28,2026-07-08 21:00:16
PROD_360,459,41,WH-London,50,2026-07-09 02:00:16
PROD_361,240,33,WH-London,26,2026-07-08 13:00:16
PROD_362,14,3,WH-Texas,58,2026-07-08 21:00:16
PROD_363,318,17,WH-Texas,33,2026-07-09 23:00:16
PROD_364,462,46,WH-Bangalore,28,2026-07-09 02:00:16
PROD_365,49,46,WH-London,18,2026-07-10 01:00:16
PROD_366,85,19,WH-Bangalore,46,2026-07-08 07:00:16
PROD_367,237,16,WH-London,42,2026-07-10 02:00:16
PROD_368,134,17,WH-Mumbai,56,2026-07-08 19:00:16
PROD_369,488,29,WH-Mumbai,56,2026-07-08 07:00:16
PROD_370,252,49,WH-London,51,2026-07-09 06:00:16
PROD_371,322,25,WH-Texas,15,2026-07-08 11:00:16
PROD_372,373,22,WH-Delhi,58,2026-07-08 22:00:16
PROD_373,70,25,WH-London,44,2026-07-08 08:00:16
PROD_374,84,22,WH-Texas,28,2026-07-09 07:00:16
PROD_375,24,12,WH-London,58,2026-07-09 03:00:16
PROD_376,338,40,WH-Texas,54,2026-07-09 13:00:16
PROD_377,28,6,WH-London,48,2026-07-08 23:00:16
PROD_378,260,10,WH-Mumbai,44,2026-07-09 02:00:16
PROD_379,211,34,WH-Mumbai,40,2026-07-09 22:00:16
PROD_380,108,6,WH-Delhi,47,2026-07-09 18:00:16
PROD_381,247,19,WH-Texas,28,2026-07-09 12:00:16
PROD_382,487,43,WH-Texas,58,2026-07-08 12:00:16
PROD_383,33,18,WH-Delhi,46,2026-07-09 23:00:16
PROD_384,327,11,WH-Texas,28,2026-07-08 16:00:16
PROD_385,206,12,WH-Delhi,34,2026-07-08 23:00:16
PROD_386,90,35,WH-Texas,27,2026-07-09 00:00:16
PROD_387,108,29,WH-London,50,2026-07-09 17:00:16
PROD_388,182,25,WH-Mumbai,32,2026-07-09 01:00:16
PROD_389,295,14,WH-London,22,2026-07-08 22:00:16
PROD_390,496,12,WH-Mumbai,32,2026-07-09 05:00:16
PROD_391,46,30,WH-London,22,2026-07-09 03:00:16
PROD_392,249,38,WH-Mumbai,15,2026-07-09 20:00:16
PROD_393,17,11,WH-Mumbai,16,2026-07-08 09:00:16
PROD_394,270,14,WH-London,29,2026-07-08 18:00:16
PROD_395,271,1,WH-Texas,20,2026-07-09 11:00:16
PROD_396,117,15,WH-London,36,2026-07-09 13:00:16
PROD_397,370,31,WH-Mumbai,60,2026-07-10 03:00:16
PROD_398,364,9,WH-London,47,2026-07-09 18:00:16
PROD_399,151,15,WH-Texas,44,2026-07-09 18:00:16
PROD_400,477,24,WH-Mumbai,30,2026-07-09 14:00:16
PROD_401,104,11,WH-Mumbai,27,2026-07-09 21:00:16
PROD_402,227,16,WH-Bangalore,25,2026-07-09 07:00:16
PROD_403,193,30,WH-Delhi,22,2026-07-09 18:00:16
PROD_404,142,45,WH-Delhi,39,2026-07-10 01:00:16
PROD_405,442,24,WH-Bangalore,59,2026-07-08 14:00:16
PROD_406,424,1,WH-London,18,2026-07-09 18:00:16
PROD_407,68,39,WH-Texas,44,2026-07-09 21:00:16
PROD_408,492,34,WH-London,40,2026-07-09 22:00:16
PROD_409,161,0,WH-Texas,47,2026-07-09 16:00:16
PROD_410,338,20,WH-Delhi,60,2026-07-08 22:00:16
PROD_411,421,8,WH-London,27,2026-07-08 22:00:16
PROD_412,153,25,WH-Texas,20,2026-07-09 10:00:16
PROD_413,76,3,WH-Delhi,35,2026-07-08 17:00:16
PROD_414,343,19,WH-Delhi,44,2026-07-09 08:00:16
PROD_415,265,0,WH-Mumbai,30,2026-07-08 09:00:16
PROD_416,325,38,WH-Mumbai,25,2026-07-08 16:00:16
PROD_417,224,3,WH-Mumbai,55,2026-07-10 00:00:16
PROD_418,320,38,WH-Delhi,38,2026-07-08 20:00:16
PROD_419,296,36,WH-Bangalore,23,2026-07-10 03:00:16
PROD_420,203,28,WH-Bangalore,24,2026-07-09 03:00:16
PROD_421,56,20,WH-Texas,51,2026-07-08 19:00:16
PROD_422,378,39,WH-Bangalore,42,2026-07-10 00:00:16
PROD_423,487,47,WH-London,44,2026-07-09 15:00:16
PROD_424,301,39,WH-Bangalore,55,2026-07-08 21:00:16
PROD_425,200,38,WH-Mumbai,37,2026-07-09 19:00:16
PROD_426,428,14,WH-Texas,42,2026-07-08 19:00:16
PROD_427,190,32,WH-Bangalore,42,2026-07-09 08:00:16
PROD_428,430,50,WH-Texas,37,2026-07-08 13:00:16
